rssi_bob,rssi_alice
-117,-106
-115,-109
-115,-101
-112,-96
-105,-89
-96,-83
-93,-74
-89,-77
-100,-92
-100,-95
-117,-108
-117,-110
-117,-111
-120,-109
-122,-111
-120,-112
-120,-112
-120,-106
-120,-110
